country,code,name,name_wo,sub_division,function,status,iata,coordinates,remarks,locode
FR,R34,Roujan,Roujan,34,-----6--,RL,,4331N 00318E,,FRR34
FR,RLW,Roulans,Roulans,25,--3-----,RL,,4719N 00614E,,FRRLW
FR,RL2,Roullens,Roullens,11,-----6--,RL,,4310N 00217E,,FRRL2
FR,RLT,Roullet-Saint-Estèphe,Roullet-Saint-Estephe,16,--3-----,RL,,4535N 00003E,,FRRLT
FR,RO5,Roullours,Roullours,14,--3-----,RL,,4850N 00050W,,FRRO5
FR,UME,Roumare,Roumare,76,--3-----,RL,,4931N 00058E,,FRUME
FR,JXQ,Rou-Marson,Rou-Marson,49,-----6--,RL,,4714N 00009W,,FRJXQ
FR,RMZ,Roumazières-Loubert,Roumazieres-Loubert,16,--3-----,RL,,4552N 00035E,,FRRMZ
FR,RZH,Rountzenheim,Rountzenheim,67,--3-----,RL,,4849N 00800E,,FRRZH
FR,RSI,Rousies,Rousies,59,-23-----,RL,,5016N 00400E,,FRRSI
FR,OSA,Roussas,Roussas,26,--3-----,RL,,4426N 00447E,,FROSA
FR,KSR,Roussay,Roussay,49,--3-----,RL,,4705N 00104W,,FRKSR
FR,QYS,Rousseloy,Rousseloy,60,--3-----,RL,,4918N 00224E,,FRQYS
FR,UET,Rousset,Rousset,13,--3-----,RL,,4328N 00537E,,FRUET
FR,D26,Rousset-les-Vignes,Rousset-les-Vignes,26,-----6--,RL,,4425N 00504E,,FRD26
FR,RSN,Roussillon,Roussillon,38,--3--6--,RL,,4522N 00449E,,FRRSN
FR,NOL,Roussillon,Roussillon,84,-----6--,RL,,4354N 00518E,,FRNOL
FR,R27,Routot,Routot,27,--3-----,RL,,4923N 00044E,,FRR27
FR,RVO,Rouvignies,Rouvignies,59,--3-----,RL,,5020N 00326E,,FRRVO
FR,RUY,Rouvray,Rouvray,59,--3-----,RL,,,,FRRUY
FR,RL7,Rouvres-les-Vignes,Rouvres-les-Vignes,10,--3--6--,RL,,4814N 00449E,,FRRL7
FR,2RY,Rouvroy,Rouvroy,2,--3-----,RL,,4951N 00319E,,FR2RY
FR,RR7,Rouvroy,Rouvroy,62,--3--6--,RL,,5023N 00254E,,FRRR7
FR,RVA,Rouvroy-sur-Audry,Rouvroy-sur-Audry,8,-23-----,RL,,4947N 00429E,,FRRVA
