country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks,UNLogNumber
CL,CLTAA,Tamentica,Tamentica,TA,--3-----,RL,,2058S 06910W,,
CL,CLZCO,Temuco,Temuco,AR,-234----,AI,,3843S 07234W,,
CL,CLTEN,Teno,Teno,ML,--3-----,RN,,3452S 07111W,,
CL,CLTEO,Teodoro Schmidt,Teodoro Schmidt,AR,-23-----,RN,,3858S 07303W,,
CL,CLTAM,Tierra Amarilla,Tierra Amarilla,AT,-23-----,RN,,2729S 07017W,,
CL,CLTIL,Tiltil,Tiltil,RM,--3-----,RN,,3305S 07056W,,
CL,CLTIM,Timaukel,Timaukel,MA,--3-----,RN,,5417S 06910W,,
CL,CLTIR,Tirúa,Tirua,BI,--3-----,RN,,3820S 07330W,,
CL,CLTOQ,Tocopilla,Tocopilla,AN,1--4----,AI,,2205S 07011W,,
CL,CLTOL,Toltén,Tolten,AR,-23-----,RN,,3913S 07314W,,
CL,CLTOM,Tomé,Tome,BI,123-----,AI,,3636S 07257W,,
CL,CLTON,Tongoy,Tongoy,CO,1-3-----,RN,,3015S 07129W,,
CL,CLTDP,Torres del Paine,Torres del Paine,MA,--3-----,RN,,5059S 07303W,,
CL,CLTOR,Tortel,Tortel,AI,1-------,RN,,4750S 07334W,,
CL,CLTRA,Traiguén,Traiguen,AR,-23-----,RN,,3815S 07241W,,
CL,CLTRE,Treguaco,Treguaco,BI,--3-----,RN,,3626S 07240W,,
CL,CLTPI,Tres Pinos,Tres Pinos,BI,--3-----,RL,,3739S 07325W,,
CL,CLTPT,Tres Puentes,Tres Puentes,MA,1-3-----,RN,,5307S 07053W,,
CL,CLTUC,Tucapel,Tucapel,BI,--3-----,RN,,3717S 07157W,,
CL,CLZAL,Valdivia,Valdivia,LL,1234----,AI,,3949S 07313W,,
CL,CLVLR,Vallenar,Vallenar,AT,-234-6--,AI,,2834S 07045W,,
CL,CLVAP,Valparaiso,Valparaiso,VS,1234----,AI,,3302S 07138W,,
CL,CLVEN,Ventanas,Ventanas,AT,--3-----,RL,,2831S 07052W,,
CL,CLVNT,Ventanas,Ventanas,VS,1-3-----,RL,,3244S 07129W,,
CL,CLVCQ,Vichuquén,Vichuquen,ML,--3-----,RN,,3453S 07200W,,
CL,CLZIC,Victoria,Victoria,AR,-234----,AI,,3814S 07219W,,
CL,CLVIC,Vicuña,Vicuna,CO,-23-----,RN,,3001S 07042W,,
CL,CLVCN,Vilcún,Vilcun,AR,-23-----,RN,,3839S 07214W,,
CL,CLVAG,Villa Alegre,Villa Alegre,ML,--3-----,RN,,3540S 07145W,,
CL,CLVIA,Villa Alemana,Villa Alemana,VS,-23-----,RN,,3302S 07122W,,
CL,CLVIL,Villarrica,Villarrica,AR,123-----,RN,ZVC,3916S 07213W,,
CL,CLVLC,Viluco,Viluco,RM,--3-----,RL,,3347S 07048W,,
CL,CLKNA,Viña del Mar,Vina del Mar,VS,1234----,AI,,3259S 07133W,,
CL,CLVIT,Vitacura,Vitacura,RM,--3-----,RN,,3324S 07036W,,
CL,CLYBU,Yerbas Buenas,Yerbas Buenas,ML,--3-----,RN,,3545S 07135W,,
CL,CLYUM,Yumbel,Yumbel,BI,-23-----,RN,,3708S 07232W,,
CL,CLYUN,Yungay,Yungay,BI,--3-----,RN,,3707S 07201W,,
CL,CLZAP,Zapallar,Zapallar,VS,--3-----,RN,,3233S 07128W,,
CL,CLZFI,Zona Franca de Iquique,Zona Franca de Iquique,TA,--3-----,RL,,2012S 07008W,,
CL,CLTGN,Terminal Graneles Norte Mejillones ,Terminal Graneles Norte Mejillones ,AN,1.0,RQ,,2303S 07022W,(HLAG) Use UN/LOCODE CLMJS Mejillones and apply for IMO GISIS Code and/or SMDG Terminal Code.,UN-2022-66056
